Profile Name,Profile Name link,Job Title,Location
Jacques Ollivier Tong Chhor Christofer Ciminelli 19 autres relations que vous avez en commun,https://www.linkedin.com/in/jacquesollivier/,Chairman @ Orisha,"Paris, Île-de-France, France"
Carl Azoury Jean Marie Tassy Simeoni Dominique Seguin 🟢 Vendre facilement 37 autres relations que vous avez en commun,https://www.linkedin.com/in/cazoury/,"CEO, Zenika","Paris, Île-de-France, France"
Olivier Gensburger Olivier Tilloy Boris Janicek 22 autres relations que vous avez en commun,https://www.linkedin.com/in/olivier-gensburger-30223a/,Co-owner chez 3 SUISSES / Shopinvest,"Paris, Île-de-France, France"
Arnaud Leclercq Pascal de Lima Jerome CASTEUBLE 2 autres relations que vous avez en commun,https://www.linkedin.com/in/arnaud-leclercq-7591063/,CEO - Partner at SPARRING CAPITAL,Paris et périphérie
Cyrille Garnier Eric Strich Dominique Seguin 🟢 Vendre facilement 8 autres relations que vous avez en commun Voir mes services,https://www.linkedin.com/in/cyrille-garnier-maestis/,Strategy & Management Consulting - CEO Maestis,"Paris, Île-de-France, France"
Christophe de BOISGELIN Olivier Tilloy Romain Vivien 4 autres relations que vous avez en commun,https://www.linkedin.com/in/christophedeboisgelin/,Owner & CEO Listen Too,Paris et périphérie
David Lozano Jean Neltner Tong Chhor 12 autres relations que vous avez en commun,https://www.linkedin.com/in/davidlozano/fr/,Reminiscence Parfums,France
Gilles Geoffroy Anne-Isabelle Choueiri (Garcia) Tong Chhor 21 autres relations que vous avez en commun,https://www.linkedin.com/in/gilles-geoffroy-b5a491/,VC impact @ alter equity,Paris et périphérie
Franck Boulland Jean Marie Tassy Simeoni Emmanuel de Vauxmoret 13 autres relations que vous avez en commun,https://www.linkedin.com/in/franck-boulland-42499a12/,Président d'AGORA,"Paris, Île-de-France, France"
Tuan Tran Thibaud Elziere Matthias Fille 13 autres relations que vous avez en commun,https://www.linkedin.com/in/tuan-tran-1021853/,Investment Director / VC @Bpifrance,Paris et périphérie
Alexis Guinard Matthias Fille Stéphane Mallard 3 autres relations que vous avez en commun,https://www.linkedin.com/in/alexis-guinard-b6b4722/,Partner - Private Equity,France
Thomas Simon Jean Marie Tassy Simeoni Laurent Plantier 11 autres relations que vous avez en commun,https://www.linkedin.com/in/thomas-simon-033184/,Managing Partner at Seven2 (Head of Services team),Paris et périphérie
Pascal JACQUET Cyril Pierre de Geyer Matthieu Pellet 18 autres relations que vous avez en commun,https://www.linkedin.com/in/pascaljacquet/,Entrepreneur | Directeur Associé Entrepreneurs & Finance,"Paris, Île-de-France, France"
Arnauld Mesqui 3 k abonnés Audrey Philippot Dahan Arthur Waller 6 autres relations que vous avez en commun,https://www.linkedin.com/in/arnauld-mesqui-b79a3a1/,CEO chez Groupe Proxiteam,Paris et périphérie
